0;0.03125;0.0625;0.09375;0.125;0.15625;0.1875;0.21875;0.25;0.28125;0.3125;0.34375;0.375;0.40625;0.4375;0.46875;0.5;0.53125;0.5625;0.59375;0.625;0.65625;0.6875;0.71875;0.75;0.78125;0.8125;0.84375;0.875;0.90625;0.9375;0.96875
-0.92388;-0.980785;-1;-0.980785;-0.92388;-0.83147;-0.707107;-0.55557;-0.382683;-0.19509;-3.48787e-16;0.19509;0.382683;0.55557;0.707107;0.83147;0.92388;0.980785;1;0.980785;0.92388;0.83147;0.707107;0.55557;0.382683;0.19509;3.58979e-09;-0.19509;-0.382683;-0.55557;-0.707107;-0.83147;

-0.928658;-0.981435;-0.996495;-0.973261;-0.912626;-0.816918;-0.689817;-0.536206;-0.36199;-0.173862;0.0209469;0.214951;0.400695;0.57104;0.71944;0.840193;0.928658;0.981435;0.996495;0.973261;0.912626;0.816918;0.689817;0.536206;0.36199;0.173862;-0.0209469;-0.214951;-0.400695;-0.57104;-0.71944;-0.840193


-0.928658;-0.984969;-1.00343;-0.983327;-0.925436;-0.831982;-0.706555;-0.553976;-0.380107;-0.191631;0.00420876;0.199887;0.387884;0.560974;0.712507;0.836659;0.928658;0.984969;1.00343;0.983327;0.925436;0.831982;0.706555;0.553976;0.380107;0.191631;-0.00420876;-0.199887;-0.387884;-0.560974;-0.712507;-0.836659


0.0212281
